 X Translation (mm), Y Translation (mm), Z Translation (mm), 
1.910970839,2.636182656,1.696221565, 
1.910970839,3.795304465,-0.045794385, 
1.861053481,3.795304465,3.342658093, 
1.861053481,4.837003273,2.073106068, 
2.073717835,4.837003273,5.664415178, 
2.073717835,5.009933035,3.234548433, 
2.146507743,5.009933035,6.647786231, 
2.146507743,4.507457804,4.057057946, 
2.214701209,4.507457804,7.692034169, 
2.214701209,4.312618995,4.136863584, 
2.086170606,4.312618995,5.5437807, 
2.086170606,3.165348727,1.917149078, 
-0.026230459,3.165348727,-1.187988218, 
-0.026230459,1.884932177,-3.614029268, 
0.058330916,1.884932177,-3.887193436, 
0.058330916,1.713393786,-4.787940423, 
1.657701508,1.713393786,-1.172170529, 
1.657701508,2.95411196,-1.737643654, 
1.911006394,2.95411196,2.060224506, 
1.911006394,4.080399811,0.758509212, 
2.048014002,4.080399811,5.217729504, 
2.048014002,4.922725861,2.431422455, 
2.047835145,4.922725861,5.532735679, 
2.047835145,4.927857361,3.159656029, 
2.220735397,4.927857361,7.620888478, 
2.220735397,4.297216555,3.319946782, 
2.200547769,4.297216555,5.593529736, 
2.200547769,3.798082863,2.180506175, 
1.097957959,3.798082863,0.830793918, 
1.097957959,2.552056057,-1.769680833, 
1.008970513,2.552056057,-0.185500547, 
1.008970513,3.17784008,-1.274990731, 
1.899771764,3.17784008,2.954030413, 
1.899771764,4.355079357,1.25537493, 
2.093121959,4.355079357,5.522805201, 
2.093121959,4.461938103,3.131997348, 
1.952867358,4.461938103,7.423398397, 
1.952867358,4.340931437,4.108136926, 
2.021569203,4.340931437,6.499425992, 
2.021569203,4.156254917,3.022278413, 
0.572010818,4.156254917,1.837991287, 
0.572010818,2.726530802,-0.204473086, 
-1.241472015,2.726530802,-4.011975087, 
-1.241472015,1.560797644,-5.924817615, 
-1.334191946,1.560797644,-7.207553945, 
-1.334191946,1.668797568,-6.197828707, 
0.187680006,1.668797568,-2.911557751, 
0.187680006,1.839759463,-3.723823989, 
1.703736453,1.839759463,0.428056748, 
1.703736453,2.872908714,-1.442119109, 
2.000200428,2.872908714,2.317368811, 
2.000200428,4.153310608,0.905225597, 
2.024881806,4.153310608,4.285020145, 
2.024881806,4.234967058,2.022245642, 
2.193851059,4.234967058,6.395724805, 
2.193851059,4.206227432,2.93263337, 
2.151233236,4.206227432,6.349550283, 
2.151233236,4.064306555,2.893029316, 
1.90046054,4.064306555,4.006693265, 
1.90046054,2.812995722,0.514503026, 
0.292847004,2.812995722,-1.167081962, 
0.292847004,1.877183452,-3.480261126, 
1.017254164,1.877183452,-1.457552448, 
1.017254164,2.061283171,-2.712818742, 
1.877449653,2.061283171,0.690675234, 
1.877449653,2.901152659,-0.669159733, 
1.849288041,2.901152659,2.116816602, 
1.849288041,3.877543039,0.711345811, 
2.001945867,3.877543039,4.126089481, 
2.001945867,4.252719708,1.679391373, 
2.0857842,4.252719708,5.424474633, 
2.0857842,4.284197423,3.058081835, 
2.128510252,4.284197423,6.498219942, 
2.128510252,4.289197068,3.359935165, 
2.232696559,4.289197068,7.586451809, 
2.232696559,4.23747349,3.3374034, 
2.245716149,4.23747349,6.66302954, 
2.245716149,4.129408723,3.23564144, 
2.243923849,4.129408723,5.332833327, 
2.243923849,3.214004087,1.854024424, 
1.605257639,3.214004087,1.833682606, 
1.605257639,2.647653989,-0.631761374, 
1.894130437,2.647653989,1.666429134, 
1.894130437,3.040109718,-0.155420085, 
2.221210557,3.040109718,4.366673232, 
2.221210557,4.121956742,2.070725241, 
2.132852831,4.121956742,5.570406892, 
2.132852831,4.156215001,3.213529069, 
2.105813255,4.156215001,6.411994296, 
2.105813255,3.805755664,3.128490958, 
1.666567021,3.805755664,3.239140005, 
1.666567021,3.004275512,0.789313906, 
