 X Translation (mm), Y Translation (mm), Z Translation (mm),,,,,,, 
-1.046428142,-1.453741797,-0.960222244,,,,,,, 
-0.908310644,-1.453741797,-1.674988164,,,,,,, 
-0.908310644,-1.215893716,-2.961548322,,,,,,, 
-0.67067995,-1.215893716,-3.545182696,,,,,,, 
-0.67067995,-1.731904663,-4.512130556,,,,,,, 
-0.77507486,-1.731904663,-2.813288945,,,,,,, 
-0.77507486,-1.087994804,-1.495205289,,,,,,, 
-0.911929365,-1.087994804,-0.661678593,,,,,,, 
-0.911929365,-1.521757076,-0.578819304,,,,,,, 
-0.989942273,-1.521757076,0.161769532,,,,,,, 
-0.989942273,-1.161621524,0.406256354,,,,,,, 
-0.92986446,-1.161621524,0.576325838,,,,,,, 
-0.92986446,-1.387361688,0.336999148,,,,,,, 
-0.997468106,-1.387361688,0.59315467,,,,,,, 
-0.997468106,-1.105606801,0.128995025,,,,,,, 
-0.967315783,-1.105606801,-0.613424957,,,,,,, 
-0.967315783,-1.54139971,-1.89516936,,,,,,, 
-0.699720817,-1.54139971,-2.811469673,,,,,,, 
-0.699720817,-1.303564482,-4.043843673,,,,,,, 
-0.5814687,-1.303564482,-3.538324671,,,,,,, 
-0.5814687,-1.288205701,-2.3573421,,,,,,, 
-0.932802766,-1.288205701,-1.141216964,,,,,,, 
-0.932802766,-0.983667225,-0.612997601,,,,,,, 
-0.86248964,-0.983667225,-0.060861379,,,,,,, 
-0.86248964,-1.156386397,0.098767091,,,,,,, 
-0.929263223,-1.156386397,0.24100991,,,,,,, 
-0.929263223,-1.014091784,0.401525644,,,,,,, 
-0.868607176,-1.014091784,0.469185111,,,,,,, 
-0.868607176,-1.211417174,0.413787942,,,,,,, 
-0.937168488,-1.211417174,-0.123575017,,,,,,, 
-0.937168488,-1.009393692,-0.964663172,,,,,,, 
-0.789425838,-1.009393692,-1.858810052,,,,,,, 
-0.789425838,-1.125916097,-2.904314319,,,,,,, 
-0.694462718,-1.125916097,-2.848400432,,,,,,, 
-0.694462718,-0.906582286,-1.430289138,,,,,,, 
-0.761917513,-0.906582286,-0.565049401,,,,,,, 
-0.761917513,-0.990585284,0.125787776,,,,,,, 
-0.913655299,-0.990585284,0.166808349,,,,,,, 
-0.913655299,-0.917454574,0.494524942,,,,,,, 
-0.831430159,-0.917454574,0.514428516,,,,,,, 
-0.831430159,-0.888806293,0.799782444,,,,,,, 
-0.882847728,-0.888806293,-0.012218109,,,,,,, 
-0.882847728,-0.89238999,-0.832061348,,,,,,, 
-0.726729674,-0.89238999,-1.993643469,,,,,,, 
-0.726729674,-0.998811932,-2.924199981,,,,,,, 
-0.598765059,-0.998811932,-3.730039611,,,,,,, 
-0.598765059,-0.951341359,-3.756276907,,,,,,, 
-0.772378589,-0.951341359,-1.942912385,,,,,,, 
-0.772378589,-1.024163462,-1.025466474,,,,,,, 
-0.963119984,-1.024163462,-0.780142599,,,,,,, 
-0.963119984,-0.897391348,0.216717762,,,,,,, 
-0.910072567,-0.897391348,0.140735902,,,,,,, 
-0.910072567,-0.9732725,0.495255319,,,,,,, 
-1.007018157,-0.9732725,0.342004928,,,,,,, 
-1.007018157,-0.978740993,0.759163509,,,,,,, 
-0.903246478,-0.978740993,0.326628156,,,,,,, 
-0.903246478,-0.941514034,0.022129043,,,,,,, 
-0.962191191,-0.941514034,-1.159436038,,,,,,, 
-0.962191191,-1.162179753,-1.857696058,,,,,,, 
-0.669244757,-1.162179753,-2.976194881,,,,,,, 
-0.669244757,-1.17452456,-3.742586602,,,,,,, 
-0.762202021,-1.17452456,-2.856121132,,,,,,, 
-0.762202021,-1.156092493,-1.382278758,,,,,,, 
-0.913430413,-1.156092493,-0.646572488,,,,,,, 
-0.913430413,-1.077640777,0.116643893,,,,,,, 
-0.95574087,-1.077640777,0.120784456,,,,,,, 
-0.95574087,-1.259891195,0.35028062,,,,,,, 
-0.924246256,-1.259891195,0.348609817,,,,,,, 
-0.924246256,-1.06028422,0.577352433,,,,,,, 
-1.095677744,-1.06028422,0.102505587,,,,,,, 
-1.095677744,-1.404725657,-0.848199692,,,,,,, 
-0.825400968,-1.404725657,-1.738834204,,,,,,, 
-0.825400968,-1.399134744,-2.914793911,,,,,,, 
-0.763969848,-1.399134744,-3.605713409,,,,,,, 
-0.763969848,-1.420411223,-3.948135856,,,,,,, 
-0.750752608,-1.420411223,-2.268252919,,,,,,, 
-0.750752608,-1.208523244,-1.202624938,,,,,,, 
-1.084373471,-1.208523244,-0.622534264,,,,,,, 
-1.084373471,-1.329084815,-0.049351435,,,,,,, 
-1.005729572,-1.329084815,0.124150023,,,,,,, 
-1.005729572,-1.290701671,0.439615086,,,,,,, 
-1.132279507,-1.290701671,0.393751804,,,,,,, 
-1.132279507,-1.455974303,0.412105708,,,,,,, 
-1.041275909,-1.455974303,-0.219373037,,,,,,, 
-1.041275909,-1.379135488,-1.226713879,,,,,,, 
-0.991713597,-1.379135488,-2.619527443,,,,,,, 
-0.991713597,-1.497283163,-3.653159229,,,,,,, 
-0.694680606,-1.497283163,-4.361618586,,,,,,, 
-0.694680606,-1.352992489,-4.521330621,,,,,,, 
-0.934910517,-1.352992489,-2.633913723,,,,,,, 
-0.934910517,-1.28331018,-1.428680799,,,,,,, 
-0.99597275,-1.28331018,-0.654824987,,,,,,, 
-0.99597275,-1.211464113,-0.077217435,,,,,,, 
-1.123475881,-1.211464113,0.099903783,,,,,,, 
-1.123475881,-1.262001428,0.299325488,,,,,,, 
-1.048323708,-1.262001428,0.498032239,,,,,,, 
-1.048323708,-1.131706408,0.617827097,,,,,,, 
-1.073566059,-1.131706408,0.683957864,,,,,,, 
-1.073566059,-1.273218656,0.392069556,,,,,,, 
-0.994647074,-1.273218656,-0.229359131,,,,,,, 
-0.994647074,-1.161484069,-1.313780427,,,,,,, 
-0.937109287,-1.161484069,-2.585917977,,,,,,, 
-0.937109287,-1.257478902,-3.745303019,,,,,,, 
-0.554389613,-1.257478902,-4.321416795,,,,,,, 
-0.554389613,-1.413338163,-5.285270661,,,,,,, 
-0.713483139,-1.413338163,-3.343507441,,,,,,, 
-0.713483139,-0.949512125,-1.809965514,,,,,,, 
-0.949035409,-0.949512125,-0.722280022,,,,,,, 
-0.949035409,-1.094368944,-0.140309708,,,,,,, 
-1.048290538,-1.094368944,0.11006622,,,,,,, 
-1.048290538,-1.155745849,0.31622883,,,,,,, 
-0.970512308,-1.155745849,0.564483737,,,,,,, 
-0.970512308,-1.039903442,0.553193935,,,,,,, 
-1.13737601,-1.039903442,0.159143315,,,,,,, 
-1.13737601,-1.220405817,-1.028886718,,,,,,, 
-0.798771565,-1.220405817,-1.730743353,,,,,,, 
-0.798771565,-1.301338074,-3.158435731,,,,,,, 
-0.693071098,-1.301338074,-3.784549343,,,,,,, 
-0.693071098,-1.398523168,-4.740849366,,,,,,, 
-0.622150272,-1.398523168,-2.609020976,,,,,,, 
